ticker,date,gap_up_percent,open_price,close_price,anchored_vwap,retraced_to_vwap,days_to_retrace,retrace_percentage,mfe_dollars,mae_dollars,mfe_percent,mae_percent,sma_330_distance_percent,spy_daily_gain_percent
CRL,2025-05-07,22.2,141.03,136.97,129.13,False,,49.75,10.67,1.86,7.79,1.36,-31.35,0.42
RGC,2025-05-07,11.8,168.82,189.99,157.54,False,,-287.21,360.01,-11.23,189.49,-5.91,1791.97,0.42
DIS,2025-05-07,11.12,102.42,102.09,98.04,False,,-32.76,11.35,-1.77,11.12,-1.73,-0.39,0.42
ROK,2025-05-07,10.65,280.0,283.17,268.34,False,,-50.96,27.61,-2.77,9.75,-0.98,3.75,0.42
DRUG,2025-05-07,9.41,31.75,30.1,30.56,True,1,182.14,6.9,0.51,22.92,1.69,79.04,0.42
ALGT,2025-05-07,8.54,53.63,51.22,50.87,False,,84.55,9.67,-0.08,18.88,-0.16,-19.93,0.42
KVYO,2025-05-07,7.94,34.11,33.62,32.2,False,,81.3,4.17,1.06,12.4,3.15,-8.28,0.42
EMR,2025-05-07,7.17,114.96,109.86,109.12,False,,93.01,12.76,0.33,11.61,0.3,-2.04,0.42
HLIO,2025-05-07,6.86,28.99,29.15,28.37,False,,-102.66,4.87,-0.48,16.71,-1.65,-33.31,0.42
SPFI,2025-05-07,5.76,35.63,33.86,34.03,True,1,107.7,2.5,-0.05,7.38,-0.13,7.94,0.42
BL,2025-05-07,5.67,49.3,50.67,48.35,False,,-124.25,5.02,0.2,9.91,0.4,-7.86,0.42
PRGO,2025-05-07,5.35,26.0,26.41,25.5,False,,38.13,1.49,0.6,5.64,2.27,-4.8,0.42
RGC,2025-05-08,31.06,249.0,212.0,166.79,False,,19.54,338.0,-20.94,159.43,-9.88,1889.29,0.7
DAVE,2025-05-08,24.92,134.7,152.73,130.04,False,,-310.93,36.2,3.53,23.7,2.31,170.16,0.7
TPC,2025-05-08,21.79,28.78,29.87,25.87,False,,-35.05,7.21,0.07,24.14,0.24,40.7,0.7
ECPG,2025-05-08,18.32,38.95,40.77,37.06,False,,-56.52,2.13,0.75,5.24,1.84,-9.37,0.7
APP,2025-05-08,13.36,344.0,339.51,318.44,False,,60.55,41.19,10.99,12.13,3.24,93.18,0.7
EPAM,2025-05-08,12.43,179.0,179.71,168.1,False,,20.04,9.91,2.9,5.51,1.61,-18.65,0.7
SITM,2025-05-08,11.26,184.92,188.5,172.52,False,,-4.6,24.5,3.01,13.0,1.6,24.83,0.7
TTEK,2025-05-08,10.98,34.27,34.88,32.48,False,,-0.56,1.24,0.6,3.56,1.72,-70.35,0.7
AOSL,2025-05-08,10.57,22.18,20.67,20.41,False,,89.22,4.52,0.07,21.87,0.34,-33.65,0.7
RELY,2025-05-08,10.29,23.26,24.16,22.18,False,,85.5,0.54,1.82,2.26,7.53,34.2,0.7
SN,2025-05-08,10.11,89.4,91.63,84.72,False,,-14.31,13.34,1.56,14.56,1.7,62.43,0.7
EVTC,2025-05-08,9.91,38.04,35.49,35.25,False,,94.52,2.31,0.09,6.51,0.25,0.54,0.7
FORTY,2025-05-08,9.46,95.23,91.41,92.68,False,,-32.41,15.59,-4.64,17.06,-5.08,12.04,0.7
MELI,2025-05-08,9.19,2470.07,2410.0,2315.73,False,,36.42,200.3,-3.86,8.31,-0.16,47.83,0.7
IONQ,2025-05-08,8.92,31.74,31.84,30.37,True,1,132.28,3.45,1.91,10.84,6.0,80.49,0.7
INOD,2025-05-08,8.81,40.0,41.11,39.06,True,1,858.54,-3.59,9.21,-8.73,22.39,73.2,0.7
NVEC,2025-05-08,8.7,65.94,67.55,63.92,False,,-18.79,5.22,1.23,7.72,1.82,-11.57,0.7
VRRM,2025-05-08,8.06,24.0,24.28,22.94,False,,66.21,0.53,0.98,2.18,4.04,-2.93,0.7
ROOT,2025-05-08,7.9,150.99,141.49,141.41,True,1,184.67,16.09,8.2,11.37,5.79,100.47,0.7
QTWO,2025-05-08,7.73,86.52,90.79,84.4,False,,-64.03,3.17,2.91,3.49,3.21,24.53,0.7
SYM,2025-05-08,7.21,24.08,23.94,23.53,False,,89.14,4.13,0.35,17.25,1.46,-24.47,0.7
VAC,2025-05-08,6.51,61.99,64.32,60.69,False,,-117.87,8.84,0.8,13.74,1.24,-22.77,0.7
CROX,2025-05-08,6.49,107.3,110.65,103.66,False,,-49.4,12.19,1.55,11.02,1.4,-8.65,0.7
CVNA,2025-05-08,6.38,275.7,285.53,269.76,True,1,143.42,26.35,18.35,9.23,6.43,78.73,0.7
PAYC,2025-05-08,6.27,243.0,249.35,235.56,False,,-63.91,12.29,1.59,4.93,0.64,31.69,0.7
IIPR,2025-05-08,6.24,56.7,55.66,54.27,False,,90.29,2.05,1.15,3.68,2.07,-42.85,0.7
AMG,2025-05-08,6.14,185.98,181.16,175.87,False,,71.3,7.46,2.39,4.12,1.32,7.0,0.7
KVUE,2025-05-08,6.01,24.5,24.06,23.74,True,5,184.43,0.55,0.97,2.29,4.03,4.22,0.7
TPR,2025-05-08,5.94,79.19,77.54,75.53,False,,51.37,7.34,0.23,9.47,0.3,46.57,0.7
STVN,2025-05-08,5.6,23.02,22.48,21.86,False,,54.31,2.48,0.09,11.03,0.4,-0.98,0.7
ORA,2025-05-08,5.41,76.22,74.11,72.69,True,6,120.78,2.35,2.15,3.17,2.9,4.29,0.7
FLYU,2025-05-08,5.32,39.03,39.11,36.24,False,,6.81,9.1,0.27,23.27,0.69,-16.03,0.7
ESE,2025-05-08,5.23,172.08,173.83,168.08,False,,-15.49,12.0,1.13,6.9,0.65,38.77,0.7
PRVA,2025-05-08,5.15,24.52,25.07,23.83,False,,86.06,0.69,1.14,2.75,4.57,23.3,0.7
TMDX,2025-05-09,22.96,114.6,111.5,104.87,False,,46.41,13.25,1.42,11.88,1.27,7.63,-0.13
TTD,2025-05-09,16.44,69.75,71.04,65.3,False,,-98.07,9.51,-3.07,13.39,-4.32,-24.17,-0.13
PODD,2025-05-09,14.02,293.03,310.67,285.06,False,,-162.16,15.83,4.72,5.1,1.52,39.57,-0.13
RGC,2025-05-09,13.92,241.51,366.01,198.28,False,,17.37,183.99,132.01,50.27,36.07,3017.92,-0.13
FOXF,2025-05-09,13.58,24.25,23.78,22.43,False,,-32.37,3.17,-1.06,13.33,-4.46,-39.14,-0.13
MCHP,2025-05-09,13.44,55.74,55.33,51.56,False,,-84.89,7.79,-3.97,14.08,-7.18,-25.15,-0.13
CARG,2025-05-09,13.31,31.67,31.08,29.29,False,,0.42,3.09,-0.58,9.94,-1.87,8.01,-0.13
CLFD,2025-05-09,13.14,36.0,34.31,32.76,False,,76.52,5.56,0.79,16.21,2.3,1.83,-0.13
SPT,2025-05-09,11.78,24.38,23.9,22.05,False,,55.29,1.58,0.81,6.61,3.39,-33.92,-0.13
SMID,2025-05-09,10.45,33.81,30.17,30.77,True,3,105.69,3.82,-0.43,12.68,-1.42,-17.22,-0.13
AMN,2025-05-09,10.43,22.45,22.0,20.8,False,,68.99,1.71,0.69,7.77,3.14,-49.52,-0.13
LIVE,2025-05-09,9.99,23.89,20.01,16.42,False,,43.91,4.85,-0.6,24.24,-3.0,18.75,-0.13
FROG,2025-05-09,9.69,38.67,39.0,36.36,False,,-30.82,4.79,-0.39,12.28,-1.0,13.93,-0.13
KYMR,2025-05-09,9.33,33.64,30.07,30.16,True,5,129.09,3.64,0.92,12.11,3.06,-22.56,-0.13
ST,2025-05-09,9.24,24.54,25.55,23.06,False,,-134.16,3.2,-0.96,12.52,-3.76,-22.74,-0.13
PINS,2025-05-09,9.02,30.37,29.22,28.72,False,,-71.28,4.39,-2.33,15.03,-7.97,-14.63,-0.13
COLL,2025-05-09,8.76,29.66,28.89,27.73,False,,44.07,1.64,0.08,5.68,0.28,-13.26,-0.13
TOST,2025-05-09,8.69,39.84,40.84,38.29,False,,-81.84,4.72,-0.26,11.56,-0.64,38.61,-0.13
KOP,2025-05-09,7.49,28.12,27.06,26.21,False,,-12.22,4.54,-1.29,16.78,-4.78,-30.11,-0.13
NET,2025-05-09,7.49,133.62,132.34,127.71,False,,-45.67,26.33,-3.98,19.9,-3.01,34.8,-0.13
KRT,2025-05-09,6.51,29.12,30.26,27.81,False,,-12.98,1.65,0.97,5.47,3.21,8.2,-0.13
ANIP,2025-05-09,6.26,76.01,66.3,70.66,True,3,319.06,1.34,7.36,2.02,11.09,7.74,-0.13
NHC,2025-05-09,5.38,99.75,100.54,96.44,False,,-40.52,9.56,-0.55,9.51,-0.55,-5.94,-0.13
TCI,2025-05-09,5.3,33.0,33.0,30.88,False,,4.47,3.33,0.09,10.09,0.29,8.52,-0.13
TREX,2025-05-09,5.08,61.26,57.76,58.16,False,,67.68,5.41,-1.4,9.37,-2.42,-22.57,-0.13
RGC,2025-05-12,22.64,448.88,470.02,394.16,True,1,392.66,79.98,236.02,17.02,50.21,3478.12,3.3
SOC,2025-05-12,17.61,27.05,26.42,25.09,False,,21.74,8.58,-0.2,32.48,-0.78,14.41,3.3
W,2025-05-12,16.47,38.19,39.56,37.52,True,7,436.4,1.15,4.31,2.91,10.89,-18.52,3.3
RH,2025-05-12,16.22,225.8,226.04,218.44,True,2,558.8,6.42,41.36,2.84,18.3,-22.94,3.3
BULZ,2025-05-12,14.38,128.23,127.7,120.84,False,,-21.26,18.13,-2.1,14.2,-1.64,-8.53,3.3
YETI,2025-05-12,13.42,31.94,31.71,30.6,True,9,182.67,0.84,2.21,2.65,6.97,-16.78,3.3
SHOP,2025-05-12,13.33,104.0,104.34,99.44,False,,53.75,8.04,2.79,7.71,2.67,23.16,3.3
ALAB,2025-05-12,12.41,80.03,80.28,76.96,False,,-35.91,17.9,-0.86,22.29,-1.07,-4.75,3.3
KNX,2025-05-12,12.27,47.66,46.72,46.27,True,1,308.6,0.51,3.34,1.09,7.15,-9.16,3.3
ELF,2025-05-12,11.46,74.5,74.07,72.19,False,,0.43,9.15,-0.42,12.35,-0.57,-45.73,3.3
ARCB,2025-05-12,10.86,68.42,70.41,66.78,True,4,406.19,0.6,8.66,0.85,12.3,-33.74,3.3
GEHC,2025-05-12,10.13,76.95,74.11,73.2,True,2,232.41,1.58,5.89,2.13,7.94,-10.44,3.3
PINS,2025-05-12,10.03,32.15,32.84,31.11,False,,57.54,0.77,1.29,2.35,3.93,-4.02,3.3
ANF,2025-05-12,10.01,80.48,78.17,77.23,True,7,244.87,4.25,5.64,5.44,7.22,-39.74,3.3
SPHR,2025-05-12,9.87,35.72,35.74,34.62,False,,12.67,3.9,0.16,10.91,0.45,-1.91,3.3
CRDO,2025-05-12,9.78,55.77,55.23,53.75,False,,0.99,8.43,-0.52,15.26,-0.94,45.03,3.3
CIVI,2025-05-12,9.73,30.35,29.7,29.08,True,7,286.7,2.44,3.0,8.22,10.09,-47.12,3.3
HRI,2025-05-12,9.46,133.02,133.2,128.09,True,9,212.08,6.06,10.63,4.55,7.98,-16.59,3.3
BBY,2025-05-12,9.34,75.28,73.37,72.54,True,3,212.27,1.36,3.9,1.86,5.32,-11.3,3.3
ZD,2025-05-12,9.19,33.75,34.7,32.52,True,4,265.85,0.11,4.22,0.31,12.15,-32.56,3.3
PII,2025-05-12,9.18,39.71,38.89,38.46,True,1,192.47,2.28,1.59,5.86,4.1,-45.23,3.3
AMZN,2025-05-12,9.14,210.71,208.64,204.23,True,3,164.36,6.2,8.58,2.97,4.11,8.73,3.3
LITE,2025-05-12,9.06,70.75,71.73,68.81,False,,-32.26,7.27,0.36,10.14,0.49,17.29,3.3
AOSL,2025-05-12,9.05,23.73,23.83,22.97,True,4,367.34,1.36,2.88,5.71,12.09,-23.44,3.3
CROX,2025-05-12,8.95,119.59,118.85,115.43,True,7,210.59,2.36,8.03,1.99,6.76,-1.94,3.3
STRT,2025-05-12,8.94,43.49,41.6,41.01,False,,41.49,12.41,-0.86,29.83,-2.07,24.56,3.3
SITM,2025-05-12,8.94,207.0,204.63,198.24,True,3,121.25,8.37,8.25,4.09,4.03,35.09,3.3
COHR,2025-05-12,8.88,76.84,77.77,74.66,False,,72.64,5.64,2.51,7.25,3.23,3.93,3.3
OXM,2025-05-12,8.82,58.51,58.24,56.75,True,3,333.92,0.75,5.59,1.29,9.61,-32.35,3.3
BKE,2025-05-12,8.7,40.12,39.26,38.72,False,,87.82,2.63,0.37,6.7,0.94,-4.66,3.3
TPG,2025-05-12,8.69,53.91,52.5,51.45,True,3,309.73,0.75,6.2,1.43,11.81,1.43,3.3
UCTT,2025-05-12,8.69,21.77,22.24,21.16,True,7,286.5,0.98,2.23,4.41,10.03,-41.03,3.3
NBR,2025-05-12,8.61,31.66,31.44,30.03,True,3,515.56,1.4,8.17,4.45,25.99,-53.33,3.3
CG,2025-05-12,8.59,45.65,45.62,44.14,True,9,139.22,2.33,2.07,5.11,4.54,0.52,3.3
WSC,2025-05-12,8.58,29.24,29.65,28.5,True,9,340.31,0.89,2.94,3.0,9.93,-21.17,3.3
ACMR,2025-05-12,8.52,24.08,24.62,23.53,True,4,307.6,0.98,2.22,4.0,9.02,14.14,3.3
MRVL,2025-05-12,8.5,64.72,64.5,62.43,True,7,235.87,2.54,5.18,3.94,8.03,-17.42,3.3
MCHP,2025-05-12,8.42,59.99,60.96,58.3,True,10,144.09,2.16,3.4,3.54,5.58,-17.43,3.3
SN,2025-05-12,8.41,100.01,98.99,96.56,True,10,148.84,4.86,4.11,4.91,4.15,73.74,3.3
ALGT,2025-05-12,8.39,59.02,59.35,57.53,True,2,531.25,1.49,8.27,2.52,13.93,-6.99,3.3
KOP,2025-05-12,8.39,29.33,29.45,28.59,False,,-1.35,2.19,0.11,7.44,0.37,-23.81,3.3
HOOD,2025-05-12,8.29,59.18,57.43,56.18,False,,50.01,9.46,-0.25,16.47,-0.44,97.95,3.3
SMTC,2025-05-12,8.21,37.95,38.22,37.11,False,,35.88,2.47,0.57,6.46,1.49,-2.35,3.3
HI,2025-05-12,8.17,22.51,22.71,21.91,True,3,550.2,0.65,3.52,2.88,15.5,-36.61,3.3
CE,2025-05-12,8.16,55.39,54.53,53.88,True,1,320.21,0.79,3.97,1.45,7.28,-51.1,3.3
RMBS,2025-05-12,8.13,55.17,54.11,53.31,False,,49.53,4.09,-0.14,7.55,-0.26,-0.84,3.3
MU,2025-05-12,8.09,92.81,92.29,90.51,False,,27.88,6.73,0.12,7.29,0.13,-9.81,3.3
MMYT,2025-05-12,8.09,105.84,103.73,101.12,True,9,153.41,6.86,5.13,6.61,4.95,14.86,3.3
GAP,2025-05-12,8.08,24.49,24.8,24.03,False,,-67.68,4.49,0.0,18.1,0.0,12.06,3.3
ALB,2025-05-12,8.06,62.6,61.57,60.55,True,2,347.73,1.22,6.09,1.98,9.89,-36.72,3.3
IWFL,2025-05-12,7.98,41.24,41.24,38.54,False,,2.25,2.1,0.06,5.09,0.15,1.47,3.3
TSLA,2025-05-12,7.96,321.99,318.38,307.14,False,,34.96,36.61,1.58,11.5,0.5,25.87,3.3
HIMS,2025-05-12,7.95,56.09,55.21,53.45,True,10,185.33,10.68,4.01,19.34,7.26,138.56,3.3
SM,2025-05-12,7.94,25.0,24.79,24.46,True,3,491.23,1.27,2.46,5.12,9.92,-39.38,3.3
DXYZ,2025-05-12,7.87,40.98,39.88,39.21,True,3,139.82,5.09,1.38,12.76,3.45,7.83,3.3
MTDR,2025-05-12,7.81,46.09,44.69,44.08,True,3,183.2,2.08,2.28,4.65,5.1,-20.85,3.3
SW,2025-05-12,7.8,45.17,45.0,43.89,True,10,103.23,2.13,1.15,4.73,2.56,-8.02,3.3
FORM,2025-05-12,7.79,32.12,32.17,31.22,True,7,160.27,1.51,1.48,4.69,4.61,-26.09,3.3
GTLS,2025-05-12,7.76,171.54,170.65,167.17,True,7,358.04,6.98,14.76,4.09,8.65,12.79,3.3
TXN,2025-05-12,7.76,185.65,187.28,181.77,True,10,146.02,2.62,7.3,1.4,3.9,0.41,3.3
FNGO,2025-05-12,7.74,86.05,86.2,84.1,False,,-70.28,7.49,-1.22,8.69,-1.42,18.7,3.3
MUR,2025-05-12,7.73,23.55,22.98,22.58,True,3,335.17,0.57,2.67,2.5,11.62,-34.4,3.3
FOXF,2025-05-12,7.7,25.61,25.76,24.88,True,9,208.07,1.19,1.66,4.62,6.44,-33.87,3.3
OLN,2025-05-12,7.69,22.97,22.86,22.51,True,1,791.43,0.2,3.52,0.87,15.4,-45.63,3.3
DAL,2025-05-12,7.61,52.02,51.14,50.35,True,3,245.49,2.26,3.22,4.41,6.3,1.69,3.3
VPG,2025-05-12,7.61,26.45,26.13,25.46,True,3,121.97,1.63,0.89,6.23,3.41,-5.3,3.3
NXT,2025-05-12,7.61,50.08,50.63,48.81,False,,-150.91,12.56,-1.37,24.81,-2.71,30.33,3.3
ENTG,2025-05-12,7.54,82.12,82.39,80.49,True,3,640.02,2.17,10.73,2.63,13.02,-27.38,3.3
ACLS,2025-05-12,7.53,62.0,62.15,60.85,True,3,311.27,1.99,3.74,3.21,6.03,-34.24,3.3
FUTU,2025-05-12,7.48,110.0,110.74,107.91,True,1,334.84,4.24,7.73,3.83,6.98,41.93,3.3
VRT,2025-05-12,7.48,101.1,101.05,98.1,False,,6.66,8.9,0.15,8.81,0.15,8.43,3.3
AMBA,2025-05-12,7.48,57.88,58.55,56.61,False,,-88.43,7.76,-0.45,13.25,-0.77,2.72,3.3
RDNT,2025-05-12,7.48,59.91,57.03,56.8,True,10,100.92,4.42,0.26,7.75,0.46,-2.75,3.3
RRX,2025-05-12,7.41,144.16,145.05,140.71,True,3,329.8,2.95,12.28,2.03,8.47,-4.25,3.3
ADI,2025-05-12,7.4,222.87,223.15,217.36,True,10,208.74,5.65,11.78,2.53,5.28,4.95,3.3
POWI,2025-05-12,7.39,58.11,59.01,56.45,True,1,462.0,-0.49,8.57,-0.83,14.52,-9.38,3.3
AMD,2025-05-12,7.37,110.42,108.12,106.3,False,,34.42,14.4,-0.88,13.32,-0.81,-24.84,3.3
DOW,2025-05-12,7.36,31.65,30.98,30.64,True,1,329.24,0.24,2.66,0.77,8.59,-35.65,3.3
KKR,2025-05-12,7.31,126.72,125.22,123.29,True,7,298.32,4.6,8.72,3.67,6.96,4.49,3.3
TER,2025-05-12,7.3,83.07,83.06,81.05,True,7,240.51,2.78,4.84,3.35,5.83,-28.56,3.3
CRI,2025-05-12,7.26,36.63,35.86,35.88,True,1,691.37,1.8,4.4,5.03,12.27,-41.04,3.3
FN,2025-05-12,7.23,217.27,215.39,208.83,False,,20.97,18.53,-0.11,8.6,-0.05,-2.12,3.3
CEVA,2025-05-12,7.22,21.53,21.51,21.03,True,7,357.3,1.02,1.76,4.74,8.18,-13.23,3.3
UAL,2025-05-12,7.19,82.83,78.62,79.54,True,1,301.81,5.56,5.72,7.07,7.28,21.08,3.3
WHD,2025-05-12,7.18,45.08,44.18,43.34,True,3,282.64,0.36,4.03,0.81,9.12,-17.59,3.3
ANET,2025-05-12,7.15,92.71,92.32,89.54,False,,41.27,7.15,0.92,7.74,1.0,-63.35,3.3
SYNA,2025-05-12,7.14,64.1,65.0,62.51,True,9,221.32,1.42,4.43,2.18,6.82,-19.96,3.3
CLS,2025-05-12,7.14,99.69,100.32,97.48,False,,-43.92,19.72,-0.34,19.66,-0.34,47.72,3.3
VST,2025-05-12,7.11,145.4,146.09,141.98,False,,38.75,12.15,2.01,8.32,1.38,38.27,3.3
ATGL,2025-05-12,7.04,26.01,23.36,24.2,True,1,220.64,5.14,1.34,22.0,5.74,33.47,3.3
DECK,2025-05-12,6.96,129.5,126.08,126.06,True,3,201.33,5.5,3.5,4.36,2.78,-76.38,3.3
QRVO,2025-05-12,6.93,78.26,78.42,76.59,True,9,151.57,1.68,2.69,2.14,3.43,-16.53,3.3
LOVE,2025-05-12,6.92,21.49,20.91,20.92,True,2,499.44,0.98,2.28,4.69,10.89,-14.38,3.3
FOXA,2025-05-12,6.85,53.68,52.42,51.79,False,,70.9,4.38,0.08,8.36,0.15,27.31,3.3
KLIC,2025-05-12,6.82,34.0,33.96,32.87,True,7,165.05,1.0,1.82,2.94,5.37,-23.45,3.3
BABA,2025-05-12,6.81,133.87,132.55,130.7,True,1,437.4,1.96,12.55,1.48,9.47,45.11,3.3
GIII,2025-05-12,6.81,28.22,27.99,27.55,True,3,156.68,0.92,0.82,3.29,2.93,-2.96,3.3
TPR,2025-05-12,6.77,83.29,82.66,80.83,True,9,180.25,2.09,3.81,2.53,4.61,55.46,3.3
RL,2025-05-12,6.76,265.56,264.51,258.62,False,,34.32,19.17,1.33,7.25,0.5,33.37,3.3
PBF,2025-05-12,6.76,21.49,20.79,20.51,True,9,183.97,2.42,1.11,11.64,5.32,-42.74,3.3
TDW,2025-05-12,6.76,44.25,42.81,42.47,True,1,337.54,1.18,4.57,2.76,10.68,-39.41,3.3
WCC,2025-05-12,6.73,172.74,171.7,168.83,True,7,224.63,4.84,7.75,2.82,4.51,0.06,3.3
KWR,2025-05-12,6.72,110.35,109.61,107.29,True,2,227.45,1.39,6.21,1.26,5.67,-32.49,3.3
NVMI,2025-05-12,6.71,195.84,195.64,188.93,True,7,172.72,7.35,11.74,3.76,6.0,-2.13,3.3
APP,2025-05-12,6.7,350.56,347.9,343.09,False,,38.3,32.8,0.2,9.43,0.06,95.96,3.3
LOGI,2025-05-12,6.69,86.01,86.23,83.39,False,,40.53,2.19,1.28,2.54,1.48,-1.57,3.3
LEU,2025-05-12,6.68,99.85,94.71,93.88,True,1,160.92,4.0,4.46,4.22,4.71,58.29,3.3
ENPH,2025-05-12,6.68,54.16,47.94,49.99,True,1,397.33,3.94,10.35,8.22,21.59,-48.35,3.3
HAL,2025-05-12,6.63,21.71,21.25,21.03,True,3,341.14,0.27,1.87,1.27,8.8,-31.34,3.3
AVNT,2025-05-12,6.6,39.23,39.01,38.27,True,2,373.85,0.21,3.38,0.54,8.66,-9.39,3.3
SKYW,2025-05-12,6.6,106.11,101.96,101.82,True,1,200.87,2.93,4.47,2.87,4.39,19.6,3.3
CTRN,2025-05-12,6.58,24.45,23.95,23.76,True,1,122.64,5.45,0.35,22.76,1.44,6.38,3.3
CPS,2025-05-12,6.57,26.28,24.33,25.14,True,1,392.31,1.44,2.54,5.93,10.44,65.53,3.3
IPGP,2025-05-12,6.57,64.1,64.81,61.98,False,,7.54,1.84,0.87,2.84,1.34,-15.83,3.3
CRC,2025-05-12,6.53,43.23,42.16,41.67,True,7,113.86,1.95,0.71,4.63,1.68,-15.44,3.3
MPTI,2025-05-12,6.52,60.0,57.4,57.32,True,1,589.39,2.44,13.19,4.25,22.98,36.59,3.3
LYB,2025-05-12,6.5,60.63,60.68,59.44,True,2,427.66,0.52,5.15,0.86,8.49,-30.47,3.3
AMSC,2025-05-12,6.48,23.0,22.8,22.48,False,,42.41,3.16,0.02,13.86,0.09,7.39,3.3
GXO,2025-05-12,6.48,42.23,40.79,40.71,True,1,184.93,1.5,1.37,3.68,3.36,-16.57,3.3
MOD,2025-05-12,6.47,100.85,101.43,98.23,True,9,403.24,6.61,11.15,6.52,10.99,-0.71,3.3
TKR,2025-05-12,6.4,73.01,72.81,71.05,True,9,236.46,1.14,4.44,1.57,6.1,-8.95,3.3
HUBG,2025-05-12,6.38,35.35,35.84,34.43,True,9,167.87,0.48,2.04,1.34,5.69,-17.63,3.3
FIVN,2025-05-12,6.33,28.2,28.05,27.37,True,3,331.94,0.68,2.6,2.44,9.27,-34.53,3.3
SWKS,2025-05-12,6.3,72.51,73.04,70.79,True,3,142.54,1.03,2.98,1.41,4.08,-20.69,3.3
WDC,2025-05-12,6.3,46.88,46.57,45.81,False,,18.74,5.02,-0.11,10.78,-0.24,-25.71,3.3
NE,2025-05-12,6.3,25.3,24.64,24.63,True,1,436.81,0.42,2.27,1.7,9.19,-33.21,3.3
TECK,2025-05-12,6.3,37.98,37.67,37.21,True,2,412.07,1.13,2.87,3.0,7.62,-15.13,3.3
AAPL,2025-05-12,6.27,210.97,210.79,205.7,True,7,213.89,3.15,11.09,1.49,5.26,-0.66,3.3
XPEL,2025-05-12,6.27,39.01,38.32,37.87,True,1,362.98,0.85,3.44,2.21,8.98,-7.82,3.3
DJT,2025-05-12,6.23,26.44,25.65,25.59,True,3,259.53,2.13,1.41,8.3,5.5,-7.46,3.3
BHVN,2025-05-12,6.23,21.5,20.56,20.75,True,1,904.56,0.54,5.87,2.6,28.55,-48.58,3.3
VICR,2025-05-12,6.22,43.7,43.91,42.86,True,3,326.09,1.55,2.94,3.53,6.7,2.03,3.3
LMND,2025-05-12,6.21,33.0,31.97,31.85,True,2,371.83,1.25,3.26,3.91,10.2,31.31,3.3
WHR,2025-05-12,6.21,85.0,83.57,82.57,True,2,364.14,2.15,7.42,2.58,8.88,-18.44,3.3
BRZE,2025-05-12,6.21,35.77,36.14,34.94,True,8,187.59,1.24,1.92,3.43,5.31,-10.99,3.3
GTES,2025-05-12,6.17,22.01,22.0,21.56,True,8,238.57,0.66,1.06,3.0,4.82,21.12,3.3
MTRN,2025-05-12,6.17,80.07,77.83,77.41,True,3,154.14,3.25,1.86,4.18,2.39,-27.88,3.3
NGVT,2025-05-12,6.15,42.96,43.04,41.82,True,7,236.6,0.9,2.78,2.09,6.46,0.18,3.3
LENZ,2025-05-12,6.15,27.96,29.37,27.38,True,2,356.65,0.62,3.48,2.11,11.87,10.18,3.3
ESTA,2025-05-12,6.13,36.0,34.58,34.67,True,1,120.07,3.18,0.18,9.2,0.52,-18.92,3.3
QCOM,2025-05-12,6.13,154.08,152.12,149.81,True,10,160.5,4.01,4.9,2.64,3.22,-9.55,3.3
TRU,2025-05-12,6.1,91.36,91.71,88.79,True,8,364.24,1.15,9.71,1.25,10.59,6.2,3.3
CHRD,2025-05-12,6.08,98.7,97.63,95.97,True,3,381.67,2.78,9.36,2.85,9.59,-30.88,3.3
PDEX,2025-05-12,6.07,46.98,40.27,42.77,True,1,161.45,5.73,0.08,14.23,0.2,29.31,3.3
RKLB,2025-05-12,6.07,21.75,21.26,21.25,False,,62.1,5.4,-0.18,25.4,-0.85,73.14,3.3
DOCN,2025-05-12,6.07,30.94,31.61,30.3,True,3,354.06,0.72,2.92,2.28,9.24,-13.86,3.3
SMLR,2025-05-12,6.06,36.9,34.84,35.26,True,1,399.66,15.6,4.51,44.78,12.95,-7.56,3.3
ABG,2025-05-12,6.06,238.66,235.96,233.11,True,3,296.43,5.94,13.74,2.52,5.82,-0.02,3.3
OSK,2025-05-12,6.04,97.58,97.74,94.9,False,,8.94,5.56,0.4,5.69,0.41,-7.21,3.3
TRN,2025-05-12,6.04,26.53,26.49,25.79,True,9,143.82,0.58,1.03,2.19,3.89,-14.79,3.3
DIOD,2025-05-12,6.01,47.44,47.57,45.59,False,,89.41,1.69,1.78,3.55,3.74,-24.22,3.3
TFIN,2025-05-12,6.01,60.89,60.0,59.59,True,9,622.61,2.93,7.23,4.88,12.05,-22.93,3.3
CAMT,2025-05-12,5.96,70.54,69.2,67.97,True,1,246.93,0.79,5.0,1.14,7.23,-18.41,3.3
PHIN,2025-05-12,5.94,44.2,43.42,43.01,True,9,167.49,1.72,1.22,3.96,2.81,5.21,3.3
FCX,2025-05-12,5.94,40.11,39.11,38.97,True,2,273.88,0.8,2.12,2.05,5.42,-9.5,3.3
SMCI,2025-05-12,5.94,33.89,33.52,33.15,False,,-39.07,14.28,-0.66,42.6,-1.97,-92.08,3.3
AXTA,2025-05-12,5.92,32.94,32.7,32.21,True,4,256.12,0.71,1.64,2.19,5.02,-6.1,3.3
IONQ,2025-05-12,5.92,33.12,32.89,32.04,False,,82.27,16.03,0.66,48.74,2.01,85.08,3.3
JXN,2025-05-12,5.91,89.4,87.16,86.23,True,2,272.96,2.96,6.42,3.4,7.37,8.67,3.3
